"Species","specialization_NHD","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Aegithalos caudatus","human_dominated","generalist","Aves","Passeriformes","Aegithalidae","Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Aegolius funereus","natural","forest","Aves","Strigiformes","Strigidae","Forest - Temperate [Suitable]","natural"
"Aegypius monachus","natural","forest","Aves","Accipitriformes","Accipitridae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Temperate [Suitable]","natural"
"Aix galericulata","natural","forest","Aves","Anseriformes","Anatidae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]","natural"
"Aix sponsa","natural","forest","Aves","Anseriformes","Anatidae","Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","natural"
"Alauda arvensis","human_dominated","agriculture","Aves","Passeriformes","Alaudidae","Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Intertidal - Tidepools [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]","human_dominated"
"Alaudala rufescens","natural","generalist","Aves","Passeriformes","Alaudidae","Desert - Hot [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]","natural"
"Alca torda","natural","generalist","Aves","Charadriiformes","Alcidae","Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]","natural"
"Alcedo atthis","human_dominated","forest","Aves","Coraciiformes","Alcedinidae","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Intertidal - Tidepools [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","human_dominated"
"Alces alces","human_dominated","generalist","Mammalia","Artiodactyla","Cervidae","Artificial/Terrestrial - Pastureland [Marginal]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Marginal]","human_dominated"
"Alectoris barbara","human_dominated","generalist","Aves","Galliformes","Phasianidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Alectoris chukar","human_dominated","generalist","Aves","Galliformes","Phasianidae","Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Marginal]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Alectoris graeca","natural","forest","Aves","Galliformes","Phasianidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]","natural"
"Alectoris rufa","human_dominated","generalist","Aves","Galliformes","Phasianidae","Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Alexandrinus krameri","human_dominated","generalist","Aves","Psittaciformes","Psittacidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Savanna - Dry [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Alexandromys oeconomus","human_dominated","generalist","Mammalia","Rodentia","Cricetidae","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Boreal [Suitable]; Forest - Boreal [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]","human_dominated"
"Alopochen aegyptiaca","natural","generalist","Aves","Anseriformes","Anatidae","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Grassland - Subtropical/Tropical High Altitude [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Amandava amandava","human_dominated","generalist","Aves","Passeriformes","Estrildidae","Forest - Subtropical/Tropical Moist Lowland [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Anas acuta","natural","generalist","Aves","Anseriformes","Anatidae","Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Estuaries [Suitable]","natural"
"Anas crecca","human_dominated","generalist","Aves","Anseriformes","Anatidae","Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Shrubland - Boreal [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]","human_dominated"
"Anas platyrhynchos","human_dominated","generalist","Aves","Anseriformes","Anatidae","Artificial/Aquatic - Aquaculture Ponds [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]","human_dominated"
"Anser albifrons","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Estuaries [Suitable]","human_dominated"
"Anser anser","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Neritic - Estuaries [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]","human_dominated"
"Anser brachyrhynchus","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Intertidal - Tidepools [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Marine Neritic - Estuaries [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]","human_dominated"
"Anser erythropus","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Subarctic [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Anser fabalis","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Shrubland - Boreal [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Grassland - Tundra [Suitable]","human_dominated"
"Anthus campestris","human_dominated","forest","Aves","Passeriformes","Motacillidae","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Anthus cervinus","human_dominated","agriculture","Aves","Passeriformes","Motacillidae","Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Tundra [Suitable]","human_dominated"
"Anthus petrosus","natural","generalist","Aves","Passeriformes","Motacillidae","Marine Intertidal - Rocky Shoreline [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Marginal]; Marine Intertidal - Tidepools [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Marginal]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","natural"
"Anthus pratensis","human_dominated","agriculture","Aves","Passeriformes","Motacillidae","Marine Intertidal - Tidepools [Suitable]; Artificial/Terrestrial - Pastureland [Marginal]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Grassland - Tundra [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]","human_dominated"
